respondent_id,age,gender,city,city_tier,occupation,monthly_income_band,skin_type,skin_tone,climate_zone,water_hardness,known_allergies,concern_acne_breakouts,concern_pigmentation_dark_spots,concern_open_pores,concern_dullness,concern_dark_circles,concern_uneven_skin_tone,concern_dryness_dehydration,concern_anti_ageing_wrinkles,concern_sensitivity_redness,concern_tan_removal,total_concerns,routine_steps,uses_cleanser,uses_moisturiser,uses_sunscreen,uses_serum,uses_acne_treatment,uses_brightening,uses_under_eye_cream,uses_ayurvedic,ingredient_awareness_score,psychographic_type,brand_openness,digital_content_hrs_week,online_shopping_freq,past_product_failure,failure_reason,current_satisfaction_score,preferred_format,preferred_brand_origin,importance_natural_ingredients,purchase_decision_driver,monthly_skincare_spend,premium_willingness,platform_appeal_score,will_signup
RESP_0012,48,Female,Chandigarh,Tier 2,Salaried – Private,"₹40,001–₹70,000",Normal,Wheatish,Semi-Arid,Hard,None,0,0,0,1,1,0,1,0,0,0,3,3,1,1,1,1,0,0,0,1,3.7,Budget Optimizer,Very reluctant,2.4,Regularly (2–3 times a month),0,N/A,9.7,Gel,Indian / Homegrown,Neutral,Online reviews,2039,"Yes, if proven effective",3.7,0
RESP_0013,40,Male,Indore,Tier 2,Salaried – Private,"₹40,001–₹70,000",Oily,Medium Brown,Semi-Arid,Soft,None,1,1,0,0,1,1,0,0,0,1,5,4,1,0,0,0,1,0,0,0,5.7,Trend Follower,Somewhat willing,6.5,Occasionally (once a month),0,N/A,6.7,Foam / Mousse,Indian / Homegrown,Neutral,Price / discount,3168,No,3.9,0
RESP_0014,23,Female,Delhi,Tier 1,Salaried – Private,"₹40,001–₹70,000",Combination,Medium Brown,Arid,Moderately Hard,None,1,1,0,0,0,0,1,0,1,1,5,2,1,1,1,0,0,1,0,0,3.4,Budget Optimizer,Somewhat reluctant,4.5,Occasionally (once a month),0,N/A,7.5,Serum / Oil,Ayurvedic / Herbal,Somewhat Important,Online reviews,2229,No,3.0,0
RESP_0015,22,Female,Bhopal,Tier 2,Salaried – Private,"₹20,001–₹40,000",Dry,Medium Brown,Moderate,Soft,Fragrance,0,1,0,0,1,1,1,1,1,1,7,2,1,1,1,1,0,0,1,1,3.9,Convenience Seeker,Very willing,2.9,Rarely (once in 3–6 months),1,No visible results,6.6,Cream,International Western,Somewhat Important,Friend / family word of mouth,1595,Maybe,4.7,0
RESP_0016,22,Female,Pune,Tier 1,Student,,Oily,Dark Brown,Arid,Hard,None,1,1,0,0,1,0,0,0,0,1,4,4,0,1,1,1,0,1,1,0,6.0,Ingredient Nerd,Very willing,6.5,Never,0,N/A,7.1,Gel,No preference,Neutral,Social media / influencer,1237,No,4.9,0
RESP_0017,25,Female,Dehradun,Tier 3,Self-employed / Freelancer,"₹40,001–₹70,000",Combination,Medium Brown,Arid,Moderately Hard,Parabens,1,1,0,0,1,0,0,0,0,1,4,4,1,1,1,1,0,1,0,0,4.7,Convenience Seeker,Very willing,3.4,Rarely (once in 3–6 months),0,N/A,6.0,Cream,Korean (K-beauty),Very Important,Dermatologist recommendation,1531,"Yes, definitely",3.6,0
RESP_0018,29,Male,Madurai,Tier 3,Salaried – Private,"Below ₹20,000",Normal,Wheatish,Arid,Soft,Fragrance,0,0,0,0,0,0,0,1,0,1,2,4,1,1,0,1,0,0,0,1,4.8,Convenience Seeker,Neutral,2.1,Occasionally (once a month),0,N/A,7.3,Gel,International Western,Somewhat Important,Online reviews,1160,No,2.3,0
RESP_0019,27,Female,Bangalore,Tier 1,Homemaker,"₹20,001–₹40,000",Combination,Wheatish,Semi-Arid,Hard,None,1,0,1,1,0,1,0,0,0,0,4,4,1,1,1,1,0,0,0,0,6.2,Budget Optimizer,Somewhat reluctant,4.2,Occasionally (once a month),1,Too expensive,2.5,Cream,International Western,Very Important,Dermatologist recommendation,1698,"Yes, definitely",8.1,0
RESP_0020,25,Male,Hyderabad,Tier 1,Salaried – Private,"Above ₹1,00,000",Oily,Wheatish,Tropical Humid,nan,None,1,0,1,0,0,0,0,0,0,1,3,5,1,0,1,1,1,0,0,0,6.4,Ingredient Nerd,Somewhat willing,7.1,Regularly (2–3 times a month),1,Wrong skin type match,4.2,Gel,Indian / Homegrown,Somewhat Important,Ingredient list,3456,"Yes, if proven effective",8.0,1
RESP_0021,32,Non-binary / Prefer not to say,Indore,Tier 2,Student,"Below ₹20,000",Dry,Medium Brown,Tropical Humid,Very Hard,None,0,0,0,0,1,0,1,0,1,0,3,6,1,0,0,1,0,0,1,1,7.0,Trend Follower,Neutral,2.7,Rarely (once in 3–6 months),1,Misleading claims,7.4,Cream,Korean (K-beauty),Very Important,Dermatologist recommendation,1689,"Yes, if proven effective",4.4,1
RESP_0022,21,Female,Hyderabad,Tier 1,Salaried – Government,"₹70,001–₹1,00,000",Dry,Wheatish,Arid,Don't Know,None,0,0,1,1,1,0,1,0,1,0,5,3,0,1,0,1,0,0,0,1,3.4,Budget Optimizer,Somewhat reluctant,2.0,Regularly (2–3 times a month),1,Wrong skin type match,4.6,Serum / Oil,Korean (K-beauty),Very Important,Dermatologist recommendation,1936,"Yes, if proven effective",5.7,0
RESP_0023,25,Male,Indore,Tier 2,Student,,Combination,Medium Brown,Tropical Humid,Very Hard,Fragrance,1,0,0,0,1,1,0,1,1,1,6,4,1,1,1,0,0,0,0,0,5.1,Ayurveda Loyalist,Very reluctant,2.9,Regularly (2–3 times a month),1,Too expensive,4.1,Serum / Oil,Ayurvedic / Herbal,Neutral,Brand reputation,1361,No,7.5,0
RESP_0024,26,Female,Trichy,Tier 3,Self-employed / Freelancer,"Below ₹20,000",Combination,Fair,Moderate,Don't Know,None,0,0,0,0,1,1,1,0,1,1,5,6,1,0,1,1,0,0,0,1,6.4,Convenience Seeker,Very willing,2.9,Rarely (once in 3–6 months),0,N/A,7.9,Serum / Oil,Korean (K-beauty),Neutral,Ingredient list,1784,"Yes, if proven effective",3.2,0
RESP_0025,28,Female,Vadodara,Tier 2,Business Owner,"₹40,001–₹70,000",Oily,Wheatish,Arid,Don't Know,None,0,0,1,0,0,1,0,0,0,0,2,3,1,1,0,1,0,0,0,0,2.6,Ayurveda Loyalist,Somewhat reluctant,3.8,Regularly (2–3 times a month),1,Ingredient sensitivity,1.8,Serum / Oil,International Western,Somewhat Important,Social media / influencer,1308,Maybe,8.1,0
RESP_0026,38,Female,Madurai,Tier 3,Self-employed / Freelancer,"Below ₹20,000",Dry,Medium Brown,Moderate,Don't Know,None,0,1,0,1,0,0,1,0,0,0,3,3,0,1,0,1,0,1,0,1,4.2,Ayurveda Loyalist,Somewhat reluctant,0.6,Occasionally (once a month),1,No visible results,4.1,Serum / Oil,Korean (K-beauty),Very Important,Dermatologist recommendation,1014,Maybe,4.8,0
RESP_0027,23,Male,Jaipur,Tier 2,Student,"₹20,001–₹40,000",Combination,Wheatish,Semi-Arid,Moderately Hard,None,1,0,1,0,0,0,0,0,1,1,4,5,0,1,0,1,0,0,0,0,5.4,Convenience Seeker,Very willing,0.0,Rarely (once in 3–6 months),1,Wrong skin type match,3.9,Lotion,Indian / Homegrown,Very Important,Dermatologist recommendation,1398,"Yes, if proven effective",4.6,0
RESP_0028,29,Non-binary / Prefer not to say,Ahmedabad,Tier 1,Salaried – Private,"₹70,001–₹1,00,000",Dry,Fair,Tropical Humid,Moderately Hard,None,0,0,0,1,1,1,1,1,0,1,6,5,0,1,0,0,0,0,0,0,7.0,Minimalist,Neutral,1.6,Regularly (2–3 times a month),0,N/A,5.7,Cream,No preference,Neutral,Online reviews,4438,"Yes, definitely",5.4,1
RESP_0029,31,Female,Trichy,Tier 3,Salaried – Government,"Below ₹20,000",Combination,Wheatish,Tropical Humid,Very Hard,None,1,0,1,0,0,1,0,0,0,0,3,5,1,0,0,1,0,0,0,1,3.1,Minimalist,Very willing,1.3,Regularly (2–3 times a month),0,N/A,10.0,Cream,Indian / Homegrown,Neutral,Ingredient list,934,No,2.6,0
RESP_0030,19,Male,Lucknow,Tier 2,Self-employed / Freelancer,"₹20,001–₹40,000",Oily,Wheatish,Moderate,Hard,Fragrance,1,1,0,0,0,0,0,0,0,1,3,2,1,0,1,0,1,0,0,0,0.1,Convenience Seeker,Neutral,5.4,Very Frequently (weekly),1,Wrong skin type match,8.3,Cream,Indian / Homegrown,Very Important,Online reviews,1082,Maybe,5.8,1
RESP_0031,31,Female,Nagpur,Tier 2,Student,"Below ₹20,000",Oily,Wheatish,Arid,Don't Know,None,1,1,1,0,1,1,0,0,0,1,6,3,1,0,1,1,1,1,0,1,5.2,Convenience Seeker,Very willing,2.4,Occasionally (once a month),1,Wrong skin type match,4.9,Serum / Oil,Indian / Homegrown,Not Important,Social media / influencer,1094,Maybe,5.2,0
RESP_0032,22,Female,Hyderabad,Tier 1,Salaried – Private,"₹20,001–₹40,000",Sensitive,Wheatish,Semi-Arid,Don't Know,None,0,0,0,0,1,1,1,0,1,0,4,2,1,0,0,0,0,0,0,0,3.6,Convenience Seeker,Neutral,4.7,Occasionally (once a month),1,Wrong skin type match,3.1,Lotion,Indian / Homegrown,Somewhat Important,Online reviews,1512,No,8.2,0
RESP_0033,20,Female,Ahmedabad,Tier 1,Salaried – Private,"₹40,001–₹70,000",Dry,Fair,Semi-Arid,Don't Know,None,1,0,0,0,1,0,1,0,0,0,3,3,1,1,1,0,0,0,1,0,5.9,Minimalist,Somewhat willing,1.2,Occasionally (once a month),1,No visible results,3.2,Serum / Oil,Korean (K-beauty),Neutral,Friend / family word of mouth,2345,"Yes, if proven effective",5.7,1
RESP_0034,46,Non-binary / Prefer not to say,Meerut,Tier 3,Student,"Below ₹20,000",Dry,Fair,Moderate,Moderately Hard,None,0,1,0,1,1,0,1,0,1,0,5,3,1,1,0,1,0,0,0,0,2.5,Ayurveda Loyalist,Somewhat reluctant,1.3,Occasionally (once a month),1,Wrong skin type match,3.1,Gel,Ayurvedic / Herbal,Somewhat Important,Friend / family word of mouth,625,Maybe,6.1,0
RESP_0035,48,Female,Hyderabad,Tier 1,Salaried – Private,"Above ₹1,00,000",Combination,Wheatish,Tropical Humid,Soft,Sulfates,1,1,1,0,0,0,1,0,0,1,5,2,1,1,1,0,1,1,0,0,2.8,Minimalist,Somewhat willing,1.8,Rarely (once in 3–6 months),1,Caused breakouts,6.1,Cream,Korean (K-beauty),Very Important,Brand reputation,7732,Maybe,4.6,0
RESP_0036,39,Female,Jabalpur,Tier 3,Salaried – Private,"₹20,001–₹40,000",Sensitive,Wheatish,Semi-Arid,Hard,None,1,1,0,0,1,1,0,0,1,0,5,4,1,1,0,0,1,1,0,1,5.7,Ingredient Nerd,Very willing,5.7,Occasionally (once a month),1,Wrong skin type match,5.9,Gel,International Western,Very Important,Price / discount,2380,"Yes, if proven effective",6.1,1
RESP_0037,25,Female,Amritsar,Tier 3,Self-employed / Freelancer,"₹40,001–₹70,000",Sensitive,Wheatish,Semi-Arid,Hard,Sulfates,0,0,1,1,0,1,0,0,0,0,3,4,1,1,0,1,0,0,0,0,3.5,Trend Follower,Somewhat willing,5.4,Occasionally (once a month),0,N/A,5.9,Lotion,Indian / Homegrown,Very Important,Ingredient list,2788,No,3.3,0
RESP_0038,20,Female,Mysuru,Tier 3,Homemaker,"₹40,001–₹70,000",Combination,Medium Brown,Moderate,Don't Know,Fragrance,1,1,1,1,0,0,1,0,0,0,5,5,0,1,1,0,1,0,0,0,4.6,Budget Optimizer,Neutral,1.8,Regularly (2–3 times a month),1,Wrong skin type match,2.6,Sheet Mask,No preference,Neutral,Brand reputation,2693,No,6.6,1
RESP_0039,34,Female,Coimbatore,Tier 2,Salaried – Government,"₹20,001–₹40,000",Oily,Wheatish,Tropical Humid,Don't Know,None,0,1,1,0,0,1,0,1,1,1,6,2,1,0,1,1,0,0,0,0,2.6,Budget Optimizer,Very reluctant,3.7,Rarely (once in 3–6 months),0,N/A,7.2,Lotion,Indian / Homegrown,Neutral,Friend / family word of mouth,1323,"Yes, if proven effective",1.8,1
RESP_0040,28,Female,Vadodara,Tier 2,Salaried – Private,"₹70,001–₹1,00,000",Normal,Medium Brown,Tropical Humid,Don't Know,Alcohol,0,0,0,0,1,1,1,0,0,0,3,3,1,1,1,0,0,0,0,0,2.0,Ingredient Nerd,Neutral,0.7,Rarely (once in 3–6 months),0,N/A,10.0,Cream,International Western,Somewhat Important,Social media / influencer,3293,"Yes, definitely",0.3,0
RESP_0041,21,Male,Jabalpur,Tier 3,Salaried – Private,"₹40,001–₹70,000",Combination,Medium Brown,Semi-Arid,Hard,Parabens,0,0,1,0,0,0,1,0,0,1,3,3,1,1,0,1,0,0,0,0,3.3,Minimalist,Somewhat willing,1.0,Very Frequently (weekly),1,Caused breakouts,3.2,Lotion,International Western,Neutral,Social media / influencer,2193,"Yes, if proven effective",8.5,1
RESP_0042,29,Female,Mumbai,Tier 1,Business Owner,"₹40,001–₹70,000",Dry,Wheatish,Semi-Arid,Hard,None,1,1,0,1,1,0,0,0,0,1,5,2,1,1,1,0,0,0,0,0,4.3,Convenience Seeker,Neutral,4.9,Rarely (once in 3–6 months),1,Ingredient sensitivity,3.3,Serum / Oil,Indian / Homegrown,Very Important,Ingredient list,2291,"Yes, if proven effective",6.9,0
RESP_0043,19,Female,Vadodara,Tier 2,Business Owner,"Above ₹1,00,000",Normal,Dark Brown,Moderate,Very Hard,None,0,0,0,1,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,4.8,Budget Optimizer,Very reluctant,0.0,Very Frequently (weekly),1,Caused breakouts,5.3,Lotion,International Western,Very Important,Dermatologist recommendation,7192,"Yes, if proven effective",6.1,0
RESP_0044,44,Female,Lucknow,Tier 2,Homemaker,"₹20,001–₹40,000",Dry,Fair,Tropical Humid,Hard,Sulfates,1,0,0,0,0,1,1,0,0,0,3,6,1,1,0,0,0,0,0,0,5.4,Budget Optimizer,Very reluctant,0.9,Rarely (once in 3–6 months),1,Wrong skin type match,6.3,Cream,Ayurvedic / Herbal,Very Important,Social media / influencer,1514,"Yes, if proven effective",4.9,0
RESP_0045,24,Male,Patna,Tier 2,Self-employed / Freelancer,"₹20,001–₹40,000",Oily,Wheatish,Tropical Humid,Don't Know,None,1,1,1,0,1,1,0,0,0,0,5,2,1,0,0,1,0,0,0,0,0.9,Budget Optimizer,Neutral,3.9,Occasionally (once a month),1,Caused breakouts,5.0,Serum / Oil,Korean (K-beauty),Very Important,Friend / family word of mouth,1425,Maybe,5.0,0
RESP_0046,33,Male,Lucknow,Tier 2,Salaried – Private,"₹70,001–₹1,00,000",Normal,Wheatish,Tropical Humid,Soft,None,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,1,0,0,0,1,4.4,Trend Follower,Very willing,5.7,Occasionally (once a month),1,Caused breakouts,2.2,Lotion,No preference,Neutral,Dermatologist recommendation,3674,"Yes, if proven effective",8.1,1
RESP_0047,25,Female,Chennai,Tier 1,Self-employed / Freelancer,"₹40,001–₹70,000",Combination,Dark Brown,Arid,Moderately Hard,None,1,0,0,0,1,1,1,1,1,1,7,3,1,1,1,0,1,0,0,0,6.3,Minimalist,Very willing,2.0,Occasionally (once a month),1,Caused breakouts,6.0,Powder,Indian / Homegrown,Very Important,Dermatologist recommendation,2779,Maybe,7.0,0
RESP_0048,29,Male,Chandigarh,Tier 2,Salaried – Private,"₹20,001–₹40,000",Dry,Dark Brown,Tropical Humid,Very Hard,None,1,0,0,1,0,1,1,0,0,0,4,2,1,0,1,0,1,0,0,0,0.9,Ingredient Nerd,Very willing,2.6,Regularly (2–3 times a month),1,No visible results,4.5,Cream,Indian / Homegrown,Neutral,Online reviews,1304,"Yes, definitely",5.5,1
RESP_0049,30,Female,Guwahati,Tier 3,Salaried – Private,"Below ₹20,000",Oily,Dark Brown,Tropical Humid,Moderately Hard,Fragrance,1,0,0,0,0,1,1,1,0,1,5,2,1,1,0,1,0,0,0,1,0.1,Ayurveda Loyalist,Somewhat reluctant,4.2,Regularly (2–3 times a month),0,N/A,7.5,Cream,Korean (K-beauty),Very Important,Price / discount,1043,Maybe,3.9,0
RESP_0050,22,Female,Ahmedabad,Tier 1,Self-employed / Freelancer,"₹70,001–₹1,00,000",Combination,Wheatish,Tropical Humid,Moderately Hard,None,1,1,0,1,1,0,0,1,1,1,7,5,0,1,1,1,1,1,0,0,5.8,Minimalist,Somewhat reluctant,3.4,Very Frequently (weekly),0,N/A,6.3,Gel,No preference,Neutral,Online reviews,3222,"Yes, if proven effective",4.9,0
RESP_0051,48,Female,Meerut,Tier 3,Student,"₹20,001–₹40,000",Oily,Dark Brown,Semi-Arid,Soft,None,1,1,0,1,1,1,1,1,0,0,7,5,0,1,1,1,1,1,0,1,2.7,Trend Follower,Neutral,8.0,Regularly (2–3 times a month),0,N/A,8.4,Cream,Indian / Homegrown,Very Important,Social media / influencer,1489,"Yes, if proven effective",4.6,1
RESP_0052,37,Female,Nagpur,Tier 2,Student,"Below ₹20,000",Dry,Fair,Tropical Humid,Moderately Hard,Fragrance,1,1,1,1,0,0,1,1,0,1,7,5,1,0,1,0,0,0,0,0,5.0,Minimalist,Somewhat willing,2.6,Regularly (2–3 times a month),1,Caused breakouts,1.9,Cream,Korean (K-beauty),Not Important,Social media / influencer,1296,"Yes, if proven effective",9.7,0
RESP_0053,45,Female,Agra,Tier 3,Salaried – Private,"₹70,001–₹1,00,000",Combination,Medium Brown,Tropical Humid,Moderately Hard,None,1,0,1,1,0,0,0,0,0,0,3,4,1,1,0,1,0,0,0,0,4.1,Budget Optimizer,Neutral,1.2,Rarely (once in 3–6 months),1,Wrong skin type match,3.1,Foam / Mousse,International Western,Somewhat Important,Online reviews,2888,Maybe,5.9,1
RESP_0054,43,Male,Indore,Tier 2,Salaried – Private,"₹20,001–₹40,000",Normal,Dark Brown,Moderate,Very Hard,None,0,0,0,1,1,0,0,0,0,0,2,5,1,1,1,1,0,0,0,1,6.4,Budget Optimizer,Neutral,2.0,Occasionally (once a month),1,Wrong skin type match,2.4,Lotion,Ayurvedic / Herbal,Somewhat Important,Price / discount,1909,"Yes, if proven effective",5.3,0
RESP_0055,31,Male,Madurai,Tier 3,Homemaker,"Below ₹20,000",Dry,Medium Brown,Arid,Hard,None,0,1,0,1,0,0,0,0,1,1,4,2,1,1,1,0,0,1,0,0,2.4,Convenience Seeker,Very willing,4.1,Occasionally (once a month),0,N/A,6.3,Gel,No preference,Somewhat Important,Online reviews,931,Maybe,4.2,0
RESP_0056,45,Male,Ahmedabad,Tier 1,Student,"Below ₹20,000",Combination,Wheatish,Semi-Arid,Hard,Sulfates,0,1,0,0,0,0,0,0,0,1,2,5,1,1,1,0,0,1,0,1,6.3,Ayurveda Loyalist,Somewhat reluctant,3.5,Regularly (2–3 times a month),1,Caused breakouts,4.9,Cream,No preference,Very Important,Dermatologist recommendation,1512,"Yes, if proven effective",8.4,0
RESP_0057,20,Female,Dehradun,Tier 3,Student,"₹20,001–₹40,000",Combination,Medium Brown,Semi-Arid,Hard,Sulfates,0,0,0,1,0,0,1,0,0,1,3,3,1,1,1,0,0,0,0,0,4.2,Ingredient Nerd,Somewhat willing,5.2,Occasionally (once a month),1,Wrong skin type match,4.7,Serum / Oil,Ayurvedic / Herbal,Somewhat Important,Dermatologist recommendation,1933,No,5.9,0
RESP_0058,23,Female,Delhi,Tier 1,Student,"Below ₹20,000",Combination,Wheatish,Tropical Humid,Moderately Hard,None,1,0,0,1,1,1,1,0,0,1,6,5,1,0,1,1,1,0,1,1,4.2,Budget Optimizer,Somewhat reluctant,5.0,Rarely (once in 3–6 months),0,N/A,4.4,Lotion,Indian / Homegrown,Not Important,Online reviews,1690,"Yes, if proven effective",4.5,1
RESP_0059,19,Male,Trichy,Tier 3,Student,"Below ₹20,000",Oily,Fair,Semi-Arid,Hard,None,1,1,1,0,1,0,0,0,0,1,5,2,1,1,0,1,1,0,0,0,0.5,Minimalist,Somewhat willing,2.9,Very Frequently (weekly),0,N/A,4.8,Cream,Korean (K-beauty),Very Important,Online reviews,512,Maybe,3.9,1
RESP_0060,25,Female,Meerut,Tier 3,Student,"₹20,001–₹40,000",Normal,Medium Brown,Tropical Humid,Hard,Multiple,0,0,1,0,1,0,0,0,0,0,2,5,1,1,1,0,0,0,1,0,4.5,Ingredient Nerd,Neutral,4.2,Never,0,N/A,5.4,Gel,Ayurvedic / Herbal,Somewhat Important,Dermatologist recommendation,1971,Maybe,4.9,0
RESP_0061,26,Female,Mumbai,Tier 1,Salaried – Government,"Above ₹1,00,000",Dry,Fair,Tropical Humid,Hard,Multiple,0,0,0,1,1,0,1,1,0,1,5,4,1,1,1,0,0,0,1,1,4.7,Ayurveda Loyalist,Somewhat reluctant,2.5,Rarely (once in 3–6 months),1,Too expensive,6.6,Serum / Oil,No preference,Very Important,Online reviews,7643,Maybe,4.6,0
RESP_0062,24,Female,Delhi,Tier 1,Salaried – Private,"₹70,001–₹1,00,000",Oily,Fair,Tropical Humid,Very Hard,Fragrance,1,1,1,1,0,1,0,0,0,0,5,1,1,0,1,1,1,1,0,0,2.7,Budget Optimizer,Somewhat reluctant,1.3,Occasionally (once a month),1,Wrong skin type match,3.6,Gel,Indian / Homegrown,Neutral,Brand reputation,2359,Maybe,6.3,1
RESP_0063,40,Male,Mysuru,Tier 3,Self-employed / Freelancer,"₹20,001–₹40,000",Oily,Medium Brown,Arid,Very Hard,Sulfates,1,1,0,1,1,1,0,0,0,0,5,4,1,1,0,0,0,1,0,0,4.2,Budget Optimizer,Very reluctant,5.4,Very Frequently (weekly),1,No visible results,8.4,Foam / Mousse,Korean (K-beauty),Somewhat Important,Social media / influencer,1329,"Yes, definitely",5.7,0
RESP_0064,26,Female,Hyderabad,Tier 1,Business Owner,"Above ₹1,00,000",Combination,Medium Brown,Tropical Humid,Hard,Sulfates,0,1,0,1,1,0,0,0,0,0,3,3,1,1,1,1,0,1,1,0,4.0,Convenience Seeker,Very willing,2.7,Rarely (once in 3–6 months),0,N/A,8.6,Powder,International Western,Very Important,Online reviews,5104,"Yes, if proven effective",3.0,0
RESP_0065,24,Female,Amritsar,Tier 3,Salaried – Government,"₹70,001–₹1,00,000",Oily,Fair,Arid,Hard,None,1,1,0,1,0,1,0,0,0,0,4,2,1,0,1,1,0,1,0,0,1.1,Ingredient Nerd,Very willing,6.9,Regularly (2–3 times a month),1,No visible results,2.3,Lotion,Korean (K-beauty),Somewhat Important,Friend / family word of mouth,3211,No,9.7,0
RESP_0066,30,Male,Chennai,Tier 1,Student,"Below ₹20,000",Oily,Fair,Semi-Arid,Moderately Hard,None,1,1,1,0,1,0,0,0,0,1,5,3,1,1,1,0,1,0,1,0,4.4,Trend Follower,Somewhat willing,7.5,Occasionally (once a month),0,N/A,5.3,Gel,Indian / Homegrown,Very Important,Online reviews,1459,No,4.3,1
